level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2560	3296	-1	
2	1	1	0	0	0	54	83	131	107	-1	
3	1	1	1	0	0	54	83	131	107	-1	
4	1	1	1	1	0	54	83	131	107	-1	
5	1	1	1	1	1	54	83	131	107	95.000000	 
2	1	2	0	0	0	1079	21	360	213	-1	
3	1	2	1	0	0	1079	21	360	213	-1	
4	1	2	1	1	0	1079	21	360	213	-1	
5	1	2	1	1	1	1079	21	360	213	95.000000	 
2	1	3	0	0	0	932	248	646	144	-1	
3	1	3	1	0	0	932	248	646	144	-1	
4	1	3	1	1	0	932	248	646	144	-1	
5	1	3	1	1	1	932	307	296	85	96.173981	PHILIP
5	1	3	1	1	2	1252	248	326	138	96.173981	MORRIS
2	1	4	0	0	0	955	416	621	37	-1	
3	1	4	1	0	0	955	416	621	37	-1	
4	1	4	1	1	0	955	416	621	37	-1	
5	1	4	1	1	1	955	423	159	30	95.569351	EUROPE
5	1	4	1	1	2	1146	422	147	26	95.238609	MIDDLE
5	1	4	1	1	3	1314	419	91	27	95.582283	EAST
5	1	4	1	1	4	1433	416	143	28	95.802139	AFRICA
2	1	5	0	0	0	958	509	620	38	-1	
3	1	5	1	0	0	958	509	620	38	-1	
4	1	5	1	1	0	958	509	620	38	-1	
5	1	5	1	1	1	958	517	214	30	87.653305	RESEARCH
5	1	5	1	1	2	1196	516	74	25	96.107422	AND
5	1	5	1	1	3	1295	509	283	31	96.282135	DEVELOPMENT
2	1	6	0	0	0	1473	744	659	51	-1	
3	1	6	1	0	0	1473	744	659	51	-1	
4	1	6	1	1	0	1473	744	659	51	-1	
5	1	6	1	1	1	1473	752	250	43	58.859520	Neuchatel,
5	1	6	1	1	2	1750	749	100	46	95.815399	July
5	1	6	1	1	3	1882	747	69	42	96.672546	14,
5	1	6	1	1	4	1980	744	97	39	66.726669	1977
5	1	6	1	1	5	2128	781	4	2	0.000000	~
2	1	7	0	0	0	670	1033	479	155	-1	
3	1	7	1	0	0	670	1033	479	155	-1	
4	1	7	1	1	0	670	1033	451	45	-1	
5	1	7	1	1	1	670	1042	65	36	94.281921	Dr.
5	1	7	1	1	2	769	1039	93	38	91.853897	M.A.
5	1	7	1	1	3	898	1033	223	42	86.982834	Manzelli,
4	1	7	1	2	0	671	1089	478	45	-1	
5	1	7	1	2	1	671	1094	148	40	95.439972	PHILIP
5	1	7	1	2	2	847	1092	150	38	91.464470	MORRIS
5	1	7	1	2	3	1030	1089	119	40	91.464470	INC.,
4	1	7	1	3	0	673	1146	400	42	-1	
5	1	7	1	3	1	673	1147	198	41	96.485687	Research
5	1	7	1	3	2	902	1146	171	38	96.499916	Center,
2	1	8	0	0	0	675	1200	482	367	-1	
3	1	8	1	0	0	675	1200	482	367	-1	
4	1	8	1	1	0	675	1200	302	41	-1	
5	1	8	1	1	1	675	1205	91	36	80.249939	P.O.
5	1	8	1	1	2	802	1203	72	35	95.685692	Box
5	1	8	1	1	3	904	1201	21	36	88.206703	3
5	1	8	1	1	4	955	1200	22	35	88.206703	D
4	1	8	1	2	0	675	1249	480	48	-1	
5	1	8	1	2	1	675	1254	322	43	96.389420	Richmond,
5	1	8	1	2	2	927	1245	80	56	95.776474	Va.
5	1	8	1	2	3	1033	1249	122	39	95.776474	23206
4	1	8	1	3	0	677	1311	480	39	-1	
5	1	8	1	3	1	677	1311	142	39	89.403839	U.S.A.
4	1	8	1	4	0	684	1527	223	40	-1	
5	1	8	1	4	1	684	1530	97	36	96.119461	Dear
5	1	8	1	4	2	811	1527	96	40	95.878845	Art,
2	1	9	0	0	0	689	1657	1444	189	-1	
3	1	9	1	0	0	689	1657	1444	189	-1	
4	1	9	1	1	0	689	1657	1442	73	-1	
5	1	9	1	1	1	689	1675	149	55	96.250183	Please
5	1	9	1	1	2	866	1686	98	40	96.688858	find
5	1	9	1	1	3	996	1679	196	43	96.435249	enclosed
5	1	9	1	1	4	1225	1688	20	29	96.630051	a
5	1	9	1	1	5	1273	1672	198	52	96.612015	proposed
5	1	9	1	1	6	1502	1677	173	41	96.691010	program
5	1	9	1	1	7	1703	1667	71	36	96.494499	for
5	1	9	1	1	8	1800	1672	102	38	95.551132	your
5	1	9	1	1	9	1930	1658	126	41	96.021393	visit
5	1	9	1	1	10	2085	1657	46	37	96.405853	in
4	1	9	1	2	0	692	1710	1441	80	-1	
